"CHNL_ID"|"CHNL_NM"|"CHNL_VAL"|"PARENT_ID"|"PARENT_NM"|"PARENT_FULL_ADDR"|"CHILD_ID"|"CHILD_NM"|"CHILD_FULL_ADDR"|"PFZ_MKT_NM"|"O_CHNL_NM_SLS"|"O_CHNL_VAL_SLS"|"O_PARENT_SLS"|"O_CHILD_SLS"|"O_CHNL_NM_GRWTH"|"O_CHNL_VAL_GRWTH"|"O_PARENT_GRWTH"|"O_CHILD_GRWTH"|"O_CHNL_NM_MKT_SHR"|"O_CHNL_VAL_MKT_SHR"|"O_PARENT_MKT_SHR"|"O_CHILD_MKT_SHR"|"O_CHNL_NM_NEW_PTNT"|"O_CHNL_VAL_NEW_PTNT"|"O_PARENT_NEW_PTNT"|"O_CHILD_NEW_PTNT"|"O_CHNL_NM_TOTAL_PTNT"|"O_CHNL_VAL_TOTAL_PTNT"|"O_PARENT_TOTAL_PTNT"|"O_CHILD_TOTAL_PTNT"|"O_CHNL_NM_NUM_HCP_TCL"|"O_CHNL_VAL_NUM_HCP_TCL"|"O_PARENT_NUM_HCP_TCL"|"O_CHILD_NUM_HCP_TCL"|"O_CHNL_NM_REACH"|"O_CHNL_VAL_REACH"|"O_PARENT_REACH"|"O_CHILD_REACH"|"O_CHNL_NM_FREQ"|"O_CHNL_VAL_FREQ"|"O_PARENT_FREQ"|"O_CHILD_FREQ"|"O_CHNL_NM_PENETRATION"|"O_CHNL_VAL_PENETRATION"|"O_PARENT_PENETRATION"|"O_CHILD_PENETRATION"|"CHNL_NM_RNK"|"CHNL_VAL_RNK"|"PARENT_RNK"|"CHILD_RNK"|"O_STD_CHNL_NM_SLS"|"O_STD_CHNL_VAL_SLS"|"O_STD_PARENT_SLS"|"O_STD_CHILD_SLS"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006683"|"Beckley VA Medical Center"|"200 VETERANS AVE, BECKLEY, WV 25801"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 264,823.03"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"90%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"11"|"0"|"0"|"100"|"3"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006644"|"Cincinnati VA Medical Center"|"3200 VINE ST, CINCINNATI, OH 45220"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 244,423.44"|"75%"|"75%"|"831%"|"1,127%"|"8%"|"8%"|"39%"|"100%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"1"|"62%"|"62%"|"25%"|"100%"|"3.69"|"3.69"|"2.00"|"2.00"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"12"|"0"|"0"|"100"|"2"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00107599"|"Northport VA Medical Center"|"79 MIDDLEVILLE RD, NORTHPORT, NY 11768"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 242,243.52"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"76%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"13"|"0"|"0"|"100"|"2"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006636"|"Jesse Brown VA Medical Center"|"820 S DAMEN AVE, CHICAGO, IL 60612"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 239,281.26"|"75%"|"75%"|"831%"|"300%"|"8%"|"8%"|"39%"|"53%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"14"|"0"|"0"|"100"|"2"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006749"|"Philadelphia VA Medical Center"|"3900 WOODLAND AVE, PHILADELPHIA, PA 19104"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 239,281.14"|"75%"|"75%"|"831%"|"300%"|"8%"|"8%"|"39%"|"100%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"15"|"0"|"0"|"100"|"2"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006627"|"Iowa City VA Health Care System"|"601 HIGHWAY 6 W, IOWA CITY, IA 52246"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 235,228.74"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"80%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"16"|"0"|"0"|"100"|"2"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006753"|"VA Pittsburgh Healthcare System"|"0 UNIVERSITY DRIVE C, PITTSBURGH, PA 15240"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 219,357.60"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"100%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"17"|"0"|"0"|"100"|"1"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006736"|"VA Salt Lake City Health Care System"|"500 FOOTHILL BLVD, SALT LAKE CITY, UT 84148"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 217,484.88"|"75%"|"75%"|"831%"|"446%"|"8%"|"8%"|"39%"|"76%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"18"|"0"|"0"|"100"|"1"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006759"|"Miami VA Healthcare System"|"1201 NW 16TH ST, MIAMI, FL 33125"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 217,484.88"|"75%"|"75%"|"831%"|"264%"|"8%"|"8%"|"39%"|"60%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"18"|"0"|"0"|"100"|"1"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006620"|"Ralph H Johnson VA Medical Center"|"109 BEE ST, CHARLESTON, SC 29401"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 215,305.56"|"75%"|"75%"|"831%"|"260%"|"8%"|"8%"|"39%"|"88%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"19"|"0"|"0"|"100"|"1"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00106257"|"San Juan VA Medical Center"|"10 CALLE CASIA, SAN JUAN, PR 00921"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 204,883.44"|"75%"|"75%"|"831%"|"249%"|"8%"|"8%"|"39%"|"33%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"12"|"62%"|"62%"|"25%"|"33%"|"3.69"|"3.69"|"2.00"|"1.50"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"20"|"0"|"0"|"100"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INSXXXXXXXX"|"Name Unknown / Affiliation Not Found"|"Address Unknown / Affiliation Not Found"|"INSXXXXXXXX"|"Name Unknown / Affiliation Not Found"|"Address Unknown / Affiliation Not Found"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 4,670,827.18"|"$ 4,670,827.18"|"75%"|"75%"|"57%"|"57%"|"8%"|"8%"|"8%"|"8%"|"688"|"688"|"28"|"28"|"7,673"|"7,673"|"408"|"408"|"8,809"|"8,809"|"844"|"844"|"62%"|"62%"|"40%"|"40%"|"3.69"|"3.69"|"3.22"|"3.22"|"12%"|"12%"|"6%"|"6%"|"1"|"1"|"2"|"1"|"0"|"0"|"40"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00006595"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 2,934,761.12"|"75%"|"75%"|"56%"|"56%"|"8%"|"8%"|"12%"|"13%"|"688"|"688"|"20"|"20"|"7,673"|"7,673"|"214"|"214"|"8,809"|"8,809"|"69"|"62"|"62%"|"62%"|"49%"|"52%"|"3.69"|"3.69"|"3.26"|"3.34"|"12%"|"12%"|"25%"|"27%"|"1"|"1"|"3"|"1"|"0"|"0"|"22"|"100"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00457778"|"MD Anderson Ambulatory Clinical Building"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 0.00"|"75%"|"75%"|"56%"|"-"|"8%"|"8%"|"12%"|"-"|"688"|"688"|"20"|"0"|"7,673"|"7,673"|"214"|"0"|"8,809"|"8,809"|"69"|"1"|"62%"|"62%"|"49%"|"100%"|"3.69"|"3.69"|"3.26"|"3.00"|"12%"|"12%"|"25%"|"0%"|"1"|"1"|"3"|"2"|"0"|"0"|"22"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00525432"|"MD Anderson Regional Care Center in Bay Area"|"18100 SAINT JOHN DR STE 150, HOUSTON, TX 77058"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 0.00"|"75%"|"75%"|"56%"|"-"|"8%"|"8%"|"12%"|"-"|"688"|"688"|"20"|"0"|"7,673"|"7,673"|"214"|"0"|"8,809"|"8,809"|"69"|"1"|"62%"|"62%"|"49%"|"0%"|"3.69"|"3.69"|"3.26"|"-"|"12%"|"12%"|"25%"|"0%"|"1"|"1"|"3"|"2"|"0"|"0"|"22"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00581749"|"MD Anderson Regional Care Center"|"1327 LAKE POINTE PKWY STE 100, SUGAR LAND, TX 77478"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 0.00"|"75%"|"75%"|"56%"|"-"|"8%"|"8%"|"12%"|"0%"|"688"|"688"|"20"|"0"|"7,673"|"7,673"|"214"|"0"|"8,809"|"8,809"|"69"|"1"|"62%"|"62%"|"49%"|"0%"|"3.69"|"3.69"|"3.26"|"-"|"12%"|"12%"|"25%"|"0%"|"1"|"1"|"3"|"2"|"0"|"0"|"22"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00648348"|"MD Anderson Regional Care Center"|"17198 ST LUKES WAY STE 130, CONROE, TX 77384"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 0.00"|"75%"|"75%"|"56%"|"-"|"8%"|"8%"|"12%"|"0%"|"688"|"688"|"20"|"0"|"7,673"|"7,673"|"214"|"0"|"8,809"|"8,809"|"69"|"1"|"62%"|"62%"|"49%"|"0%"|"3.69"|"3.69"|"3.26"|"-"|"12%"|"12%"|"25%"|"0%"|"1"|"1"|"3"|"2"|"0"|"0"|"22"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00000465"|"University of Texas MD Anderson Cancer Center"|"1515 HOLCOMBE BLVD, HOUSTON, TX 77030"|"INS00542483"|"MD Anderson Regional Cancer Center Katy"|"19770 KINGSLAND BLVD, HOUSTON, TX 77094"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 2,934,761.12"|"$ 0.00"|"75%"|"75%"|"56%"|"-"|"8%"|"8%"|"12%"|"-"|"688"|"688"|"20"|"0"|"7,673"|"7,673"|"214"|"0"|"8,809"|"8,809"|"69"|"3"|"62%"|"62%"|"49%"|"33%"|"3.69"|"3.69"|"3.26"|"1.00"|"12%"|"12%"|"25%"|"0%"|"1"|"1"|"3"|"2"|"0"|"0"|"22"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00117328"|"Memorial Sloan Kettering Cancer Center"|"1275 YORK AVE, NEW YORK, NY 10065"|"INS00002192"|"Memorial Sloan-Kettering Cancer Center"|"1275 YORK AVE, NEW YORK, NY 10065"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 1,949,181.47"|"$ 1,843,742.74"|"75%"|"75%"|"235%"|"217%"|"8%"|"8%"|"19%"|"19%"|"688"|"688"|"12"|"10"|"7,673"|"7,673"|"121"|"110"|"8,809"|"8,809"|"18"|"16"|"62%"|"62%"|"28%"|"25%"|"3.69"|"3.69"|"1.80"|"1.75"|"12%"|"12%"|"28%"|"25%"|"1"|"1"|"4"|"1"|"0"|"0"|"13"|"100"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00117328"|"Memorial Sloan Kettering Cancer Center"|"1275 YORK AVE, NEW YORK, NY 10065"|"INS00062237"|"Memorial Sloan-Kettering Cancer Center 64th Street Outpatient Center"|"205 E 64TH ST, NEW YORK, NY 10065"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 1,949,181.47"|"$ 105,438.72"|"75%"|"75%"|"235%"|"-"|"8%"|"8%"|"19%"|"39%"|"688"|"688"|"12"|"2"|"7,673"|"7,673"|"121"|"11"|"8,809"|"8,809"|"18"|"1"|"62%"|"62%"|"28%"|"100%"|"3.69"|"3.69"|"1.80"|"2.00"|"12%"|"12%"|"28%"|"100%"|"1"|"1"|"4"|"2"|"0"|"0"|"13"|"6"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00117328"|"Memorial Sloan Kettering Cancer Center"|"1275 YORK AVE, NEW YORK, NY 10065"|"INS00489749"|"Memorial Sloan Kettering Cancer Center Basking Ridge"|"136 MOUNTAINVIEW BLVD, BASKING RIDGE, NJ 07920"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 1,949,181.47"|"$ 0.00"|"75%"|"75%"|"235%"|"-"|"8%"|"8%"|"19%"|"0%"|"688"|"688"|"12"|"0"|"7,673"|"7,673"|"121"|"0"|"8,809"|"8,809"|"18"|"1"|"62%"|"62%"|"28%"|"0%"|"3.69"|"3.69"|"1.80"|"-"|"12%"|"12%"|"28%"|"0%"|"1"|"1"|"4"|"3"|"0"|"0"|"13"|"0"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00483575"|"Texas Oncology, PA"|"12221 MERIT DR STE 500, DALLAS, TX 75251"|"INS00611070"|"Texas Oncology Baylor Charles A Sammons Cancer Center"|"3410 WORTH ST, DALLAS, TX 75246"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 1,936,613.59"|"$ 294,469.96"|"75%"|"75%"|"29%"|"202%"|"8%"|"8%"|"7%"|"15%"|"688"|"688"|"16"|"2"|"7,673"|"7,673"|"179"|"18"|"8,809"|"8,809"|"199"|"4"|"62%"|"62%"|"68%"|"75%"|"3.69"|"3.69"|"3.69"|"3.33"|"12%"|"12%"|"14%"|"50%"|"1"|"1"|"5"|"1"|"0"|"0"|"13"|"100"
